YearStart,YearEnd,LocationDesc,Topic,Question,DataValueUnit,DataValue
2018,2018,Connecticut,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years who smoke,%,
2012,2012,Massachusetts,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among adults aged >= 18 years,%,41.1
2016,2016,Utah,Overarching Conditions,Current health care coverage among women aged 18-44 years,%,85.0
2011,2011,Alabama,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,
2013,2013,Arizona,Alcohol,Alcohol use among youth,%,37.8
2010,2010,Arkansas,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",9.89
2014,2014,Hawaii,Oral Health,Visits to dentist or dental clinic among adults aged >= 18 years,%,67.1
2010,2014,Connecticut,Cancer,"Invasive cancer of the female breast, incidence",,4
2015,2015,Louisiana,Arthritis,Arthritis among adults aged >= 18 years who have diabetes,%,
2014,2014,California,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis,,
2008,2012,Nebraska,Cancer,"Invasive cancer of the female breast, incidence","per 100,000",44.6
2013,2013,South Carolina,Cardiovascular Disease,Hospitalization for acute myocardial infarction,"cases per 10,000",5.18
2013,2013,Connecticut,Diabetes,Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes,%,
2015,2015,Washington,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,16.6
2014,2014,Missouri,Arthritis,Arthritis among adults aged >= 18 years who have diabetes,%,
2016,2016,Mississippi,Chronic Obstructive Pulmonary Disease,Prevalence of chronic obstructive pulmonary disease among adults >= 45 years,%,11.5
2017,2017,Idaho,Diabetes,Mortality due to diabetes reported as any listed cause of death,Number,588
2012,2016,New Hampshire,Cancer,"Cancer of the oral cavity and pharynx, mortality","per 100,000",1.3
2013,2013,Nevada,Cardiovascular Disease,Hospitalization for acute myocardial infarction,"cases per 10,000",8.34
2018,2018,North Carolina,Chronic Obstructive Pulmonary Disease,Influenza vaccination among noninstitutionalized adults aged >= 45 years with chronic obstructive pulmonary disease,%,52.2
2014,2014,North Dakota,Overarching Conditions,Fair or poor self-rated health status among adults aged >= 18 years,%,14.6
2010,2014,Montana,Cancer,"Cancer of the lung and bronchus, mortality","per 100,000",41.4
2011,2011,Maryland,Diabetes,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,%,72.7
2017,2017,Texas,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines for substantial health benefits among adults aged >= 18 years,%,36.4
2011,2015,Minnesota,Cancer,"Cancer of the female cervix, mortality","per 100,000",2.2
2015,2015,Georgia,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults aged >= 18 years,%,25.0
2011,2011,Tennessee,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,,
2016,2016,Maine,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,%,
2015,2015,New Jersey,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,%,70.2
2013,2013,New Hampshire,Chronic Obstructive Pulmonary Disease,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,,
2011,2011,Louisiana,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults aged >= 18 years,%,38.6
2016,2016,Texas,Chronic Kidney Disease,Mortality with end-stage renal disease,Number,9622
2014,2014,Mississippi,Arthritis,Arthritis among adults aged >= 18 years who have heart disease,%,56.7
2014,2014,Indiana,Chronic Obstructive Pulmonary Disease,Emergency department visit rate for chronic obstructive pulmonary disease as first-listed diagnosis,"cases per 10,000",
2012,2016,South Carolina,Cancer,"Invasive cancer of the oral cavity or pharynx, incidence","per 100,000",10.4
2013,2013,Massachusetts,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,"cases per 1,000",
2014,2014,Michigan,"Nutrition, Physical Activity, and Weight Status",Healthy weight among adults aged >= 18 years,%,27.3
2012,2016,Colorado,Cancer,"Invasive cancer of the oral cavity or pharynx, incidence","per 100,000",14.2
2010,2014,Oregon,Cancer,"Invasive melanoma, incidence","per 100,000",35.5
2013,2013,Nebraska,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years who smoke,%,
2017,2017,Colorado,Cardiovascular Disease,Awareness of high blood pressure among women aged 18-44 years,%,14.7
2015,2015,California,Asthma,Asthma prevalence among women aged 18-44 years,%,
2018,2018,Arkansas,Diabetes,Foot examination among adults aged >= 18 years with diagnosed diabetes,%,
2011,2015,Illinois,Cancer,"Cancer of the oral cavity and pharynx, mortality","per 100,000",
2013,2013,Iowa,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,%,
2010,2014,North Carolina,Cancer,"Cancer of the lung and bronchus, incidence","per 100,000",30.9
2015,2015,Guam,Chronic Obstructive Pulmonary Disease,Emergency department visit rate for chronic obstructive pulmonary disease as any diagnosis,,
2016,2016,Pennsylvania,Overarching Conditions,Premature mortality among adults aged 45-64 years,Number,227
2011,2011,Michigan,Chronic Obstructive Pulmonary Disease,Prevalence of activity limitation among adults >= 18 with diagnosed chronic obstructive pulmonary disease,%,52.7
2017,2017,Indiana,Overarching Conditions,Poverty,%,15.2
2013,2013,Virginia,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with asthma,%,86.4
2013,2013,South Dakota,Cardiovascular Disease,Hospitalization for stroke,"cases per 10,000",
2017,2017,Mississippi,Cardiovascular Disease,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease,%,
2012,2012,Maryland,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with asthma,%,
2012,2012,Wisconsin,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,%,46.5
2014,2014,New York,Chronic Obstructive Pulmonary Disease,Prevalence of current smoking among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,%,30.2
2015,2015,California,Arthritis,Adults aged >= 18 years with arthritis who have taken a class to learn how to manage arthritis symptoms,%,12.6
2016,2016,Vermont,Overarching Conditions,Recent physically unhealthy days among adults aged >= 18 years,Number,6.7
2015,2015,Nevada,Cardiovascular Disease,Hospitalization for acute myocardial infarction,"cases per 10,000",20.17
2008,2012,Minnesota,Cancer,"Cancer of the oral cavity and pharynx, mortality",,4
2011,2011,Arizona,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,%,26.8
2018,2018,California,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,%,38.3
2017,2017,Kentucky,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,19.6
2008,2012,North Carolina,Cancer,"Cancer of the colon and rectum (colorectal), incidence",,2084
2014,2014,Vermont,Diabetes,Foot examination among adults aged >= 18 years with diagnosed diabetes,%,
2011,2011,Indiana,Arthritis,Severe joint pain due to arthritis among adults aged >= 18 years who have doctor-diagnosed arthritis,%,42.4
2012,2012,Kansas,Overarching Conditions,Recent activity limitation among adults aged >= 18 years,Number,2.0
2012,2016,Georgia,Cancer,"Melanoma, mortality","per 100,000",
2012,2012,Oklahoma,Cardiovascular Disease,Mortality from cerebrovascular disease (stroke),,131
2015,2015,Florida,Cancer,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,
2016,2016,Montana,Chronic Obstructive Pulmonary Disease,Pneumococcal vaccination among noninstitutionalized adults aged >= 45 years with chronic obstructive pulmonary disease,%,
2013,2013,New Hampshire,Cardiovascular Disease,Mortality from heart failure,"cases per 100,000",
2015,2015,Ohio,Alcohol,Heavy drinking among women aged 18-44 years,%,
2016,2016,Wyoming,Chronic Kidney Disease,Mortality with end-stage renal disease,"cases per 100,000",71.3
2013,2013,Iowa,Tobacco,Current cigarette smoking among youth,%,
2015,2015,Utah,Arthritis,Arthritis among adults aged >= 18 years who are obese,%,31.7
2012,2016,Alaska,Cancer,"Invasive cancer (all sites combined), incidence",,150
2015,2015,Delaware,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,14.9
2014,2014,Wyoming,Arthritis,Physical inactivity among adults aged >= 18 years with arthritis,%,
2011,2011,Maine,Chronic Obstructive Pulmonary Disease,Influenza vaccination among noninstitutionalized adults aged >= 45 years with chronic obstructive pulmonary disease,%,
2012,2016,Oregon,Cancer,"Cancer of the colon and rectum (colorectal), mortality",,18
2013,2013,Montana,Asthma,Influenza vaccination among noninstitutionalized adults aged 18-64 years with asthma,%,46.3
2011,2015,Vermont,Cancer,"Invasive cancer of the female breast, incidence","per 100,000",
2016,2016,Maine,Asthma,Asthma mortality rate,"cases per 1,000,000",
2015,2015,Utah,Chronic Obstructive Pulmonary Disease,Prevalence of activity limitation among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,%,
2016,2016,North Dakota,Diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,%,
2017,2017,Wyoming,"Nutrition, Physical Activity, and Weight Status",Participation in daily school physical education classes among high school students,%,
2008,2012,Kansas,Cancer,"Invasive cancer (all sites combined), mortality",,
2011,2011,Michigan,Cardiovascular Disease,Mortality from heart failure,,102
2010,2010,Virginia,Cardiovascular Disease,Mortality from heart failure,,3378
2014,2014,West Virginia,Chronic Obstructive Pulmonary Disease,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,"cases per 100,000",437.2
2011,2011,Maine,Arthritis,Severe joint pain due to arthritis among adults aged >= 18 years who have doctor-diagnosed arthritis,%,23.4
2011,2011,Wisconsin,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,"cases per 1,000",17.23
2014,2014,Alabama,Cardiovascular Disease,Mortality from coronary heart disease,"cases per 100,000",66.9
2012,2012,Georgia,Overarching Conditions,Premature mortality among adults aged 45-64 years,"cases per 100,000",245.6
2017,2017,Georgia,Asthma,Influenza vaccination among noninstitutionalized adults aged 18-64 years with asthma,%,
2016,2016,Wisconsin,Chronic Obstructive Pulmonary Disease,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,"cases per 100,000",123.0
2010,2014,Utah,Cancer,"Invasive cancer of the prostate, incidence","per 100,000",130.7
2015,2015,Iowa,Diabetes,Hospitalization with diabetes as a listed diagnosis,"cases per 10,000",133.22
2017,2017,Vermont,Overarching Conditions,Premature mortality among adults aged 45-64 years,"cases per 100,000",
2016,2016,Delaware,Overarching Conditions,Recent physically unhealthy days among adults aged >= 18 years,Number,3.2
2010,2010,New Mexico,Diabetes,Amputation of a lower extremity attributable to diabetes,"cases per 10,000",1.27
2012,2012,Pennsylvania,Oral Health,Visits to dentist or dental clinic among adults aged >= 18 years,%,70.8
2017,2017,Vermont,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines for substantial health benefits and for muscle-strengthening activity among adults aged >= 18 years,%,23.0
2015,2015,California,Diabetes,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,%,
2009,2013,New York,Cancer,"Cancer of the oral cavity and pharynx, mortality",,333
2014,2014,West Virginia,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with asthma,%,74
2014,2014,Vermont,Overarching Conditions,Premature mortality among adults aged 45-64 years,"cases per 100,000",
2016,2016,South Carolina,Diabetes,Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,%,
2010,2014,Nevada,Cancer,"Invasive cancer (all sites combined), incidence","per 100,000",
2011,2011,Hawaii,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,1.9
2013,2013,Alabama,Cardiovascular Disease,Mortality from coronary heart disease,"cases per 100,000",
2017,2017,Virginia,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,,64
2014,2014,New Mexico,Overarching Conditions,Self-rated health status among women aged 18-44 years,%,
2016,2016,Virgin Islands,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,
2012,2016,Delaware,Cancer,"Invasive cancer (all sites combined), mortality","per 100,000",
2014,2014,Connecticut,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",10.38
2012,2012,North Carolina,Asthma,Influenza vaccination among noninstitutionalized adults aged >= 65 years with asthma,%,
2015,2015,Idaho,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis,"cases per 10,000",
2014,2014,Delaware,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease or stroke,%,43.9
2015,2015,Texas,Chronic Obstructive Pulmonary Disease,Emergency department visit rate for chronic obstructive pulmonary disease as first-listed diagnosis,"cases per 10,000",
2009,2013,New York,Cancer,"Invasive cancer of the female breast, incidence","per 100,000",126.2
2011,2011,Wyoming,Diabetes,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,%,
2018,2018,Missouri,Chronic Obstructive Pulmonary Disease,Pneumococcal vaccination among noninstitutionalized adults aged >= 45 years with chronic obstructive pulmonary disease,%,71.2
2012,2012,Ohio,Diabetes,Glycosylated hemoglobin measurement among adults aged >= 18 years with diagnosed diabetes,%,
2011,2015,Illinois,Cancer,"Cancer of the lung and bronchus, incidence","per 100,000",
2014,2014,Virgin Islands,Cardiovascular Disease,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease,%,
2017,2017,Kentucky,Disability,Disability among adults aged >= 65 years,%,40.6
2017,2017,North Carolina,Arthritis,Fair or poor health among adults aged >= 18 years with arthritis,%,46.5
2013,2013,Kansas,"Nutrition, Physical Activity, and Weight Status",Participation in daily school physical education classes among high school students,%,27.9
2015,2015,Vermont,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,"cases per 100,000",
2016,2016,Vermont,Cardiovascular Disease,Mortality from cerebrovascular disease (stroke),"cases per 100,000",29.2
2012,2012,New Jersey,Overarching Conditions,Recent physically unhealthy days among adults aged >= 18 years,Number,3.2
2011,2011,Kentucky,Tobacco,Quit attempts in the past year among current smokers,%,51.1
2015,2015,Illinois,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults aged >= 18 years,%,30.5
2013,2013,Oregon,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,"cases per 1,000",9.38
2014,2014,North Carolina,Asthma,Influenza vaccination among noninstitutionalized adults aged >= 65 years with asthma,%,
2012,2012,Tennessee,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults aged >= 18 years,%,26.8
2012,2012,Kentucky,Chronic Obstructive Pulmonary Disease,Prevalence of chronic obstructive pulmonary disease among adults >= 18,%,11.2
2013,2013,Maryland,"Nutrition, Physical Activity, and Weight Status",Participation in daily school physical education classes among high school students,%,19.2
2016,2016,Wyoming,Cardiovascular Disease,Mortality from total cardiovascular diseases,"cases per 100,000",255.6
2011,2011,Maine,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among adults aged >= 18 years,%,67.0
2012,2012,Alaska,Asthma,Asthma mortality rate,,
2018,2018,Montana,Diabetes,Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course,%,
2014,2014,Connecticut,Cardiovascular Disease,Hospitalization for stroke,"cases per 10,000",
2016,2016,South Carolina,Overarching Conditions,Recent physically unhealthy days among adults aged >= 18 years,Number,4.2
2016,2016,Washington,Overarching Conditions,Recent physically unhealthy days among adults aged >= 18 years,Number,3.9
2012,2012,Kansas,Diabetes,Mortality due to diabetes reported as any listed cause of death,"cases per 100,000",70.1
2012,2012,Nebraska,Older Adults,Prevalence of 2 or more chronic conditions among Medicare-enrolled persons aged >= 65 years,%,69.3
2015,2015,Hawaii,Diabetes,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,%,60.9
2015,2015,Colorado,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease or stroke,%,44.7
2015,2015,Virgin Islands,Chronic Obstructive Pulmonary Disease,Emergency department visit rate for chronic obstructive pulmonary disease as first-listed diagnosis,"cases per 10,000",
2009,2013,Missouri,Cancer,"Invasive cancer of the cervix, incidence",,269
2014,2014,Ohio,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among adults aged >= 18 years,%,74.9
2015,2015,United States,Overarching Conditions,Recent activity limitation among adults aged >= 18 years,Number,2.2
2012,2012,Wisconsin,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,%,36.0
2013,2013,Pennsylvania,Cardiovascular Disease,Cholesterol screening among adults aged >= 18 years,%,79.9
2018,2018,Florida,Cancer,Mammography use among women aged 50-74 years,%,81.2
2014,2014,Wyoming,Arthritis,Arthritis among adults aged >= 18 years who have heart disease,%,
2016,2016,Rhode Island,Chronic Obstructive Pulmonary Disease,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,"cases per 100,000",
2012,2012,Arizona,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma,%,35.6
2011,2011,Maryland,Chronic Obstructive Pulmonary Disease,Prevalence of current smoking among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,%,36.6
2018,2018,South Carolina,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with asthma,%,91.1
2016,2016,North Dakota,Oral Health,All teeth lost among adults aged >= 65 years,%,13.9
2014,2014,North Carolina,Alcohol,Chronic liver disease mortality,"cases per 100,000",11.4
2017,2017,West Virginia,Cardiovascular Disease,Awareness of high blood pressure among adults aged >= 18 years,%,40.8
2012,2012,North Dakota,Oral Health,Six or more teeth lost among adults aged >= 65 years,%,
2018,2018,New Jersey,Tobacco,Quit attempts in the past year among current smokers,%,
2012,2012,Connecticut,Cardiovascular Disease,Mortality from heart failure,"cases per 100,000",61.3
2010,2010,New Jersey,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,"cases per 1,000",3.50
2017,2017,Guam,Tobacco,Quit attempts in the past year among current smokers,%,
2012,2012,Nebraska,Overarching Conditions,Prevalence of sufficient sleep among adults aged >= 18 years,%,
2010,2010,Kentucky,Asthma,Asthma mortality rate,,
2012,2012,Texas,Asthma,Asthma mortality rate,"cases per 1,000,000",9.3
2013,2013,Florida,Alcohol,Heavy drinking among adults aged >= 18 years,%,
2012,2012,Vermont,Cardiovascular Disease,Mortality from total cardiovascular diseases,"cases per 100,000",263.3
2016,2016,Florida,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,4.2
2013,2013,North Dakota,Chronic Obstructive Pulmonary Disease,Prevalence of current smoking among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,%,34.1
2015,2015,Oregon,Reproductive Health,Postpartum checkup,%,
2016,2016,Pennsylvania,Arthritis,Physical inactivity among adults aged >= 18 years with arthritis,%,22.8
2012,2016,Arizona,Cancer,"Melanoma, mortality","per 100,000",4.3
2015,2015,Rhode Island,Arthritis,Arthritis among adults aged >= 18 years who have heart disease,%,
2018,2018,Oklahoma,Cardiovascular Disease,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease,%,87.4
2016,2016,Kansas,Tobacco,Current smoking among adults aged >= 18 years,%,17.7
2013,2013,Michigan,Alcohol,Binge drinking intensity among adults aged >= 18 years who binge drink,Number,
2013,2013,Maine,Overarching Conditions,Premature mortality among adults aged 45-64 years,"cases per 100,000",
2015,2015,Massachusetts,Chronic Obstructive Pulmonary Disease,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,Number,79
2016,2016,Connecticut,Overarching Conditions,Current health care coverage among women aged 18-44 years,%,94.6
2013,2013,Kentucky,Chronic Obstructive Pulmonary Disease,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,"cases per 100,000",290.3
2015,2015,Alaska,Alcohol,Alcohol use among youth,%,
2009,2013,Wisconsin,Cancer,"Cancer of the lung and bronchus, incidence","per 100,000",60.5
2017,2017,Missouri,Overarching Conditions,Current lack of health insurance among adults aged 18-64 years,%,16.1
2013,2013,Hawaii,Chronic Obstructive Pulmonary Disease,Pneumococcal vaccination among noninstitutionalized adults aged >= 45 years with chronic obstructive pulmonary disease,%,
2018,2018,Arizona,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,58.2
2015,2015,Hawaii,Diabetes,Amputation of a lower extremity attributable to diabetes,,
2010,2010,Wisconsin,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,"cases per 1,000",7.97
2012,2012,Wyoming,Cardiovascular Disease,Mortality from diseases of the heart,"cases per 100,000",
2016,2016,Florida,Tobacco,Current cigarette smoking among women aged 18-44 years,%,
2017,2017,New Jersey,Diabetes,Mortality due to diabetes reported as any listed cause of death,Number,2653
2014,2014,Texas,Oral Health,Oral health services at Federally Qualified Health Centers,%,17.2
2017,2017,Mississippi,Diabetes,Mortality due to diabetes reported as any listed cause of death,"cases per 100,000",131.1
2014,2014,District of Columbia,Cardiovascular Disease,Mortality from coronary heart disease,,150
2009,2013,Washington,Cancer,"Invasive cancer of the female breast, incidence","per 100,000",176.8
2013,2013,Washington,Alcohol,Binge drinking intensity among adults aged >= 18 years who binge drink,Number,7.0
2018,2018,Vermont,Chronic Obstructive Pulmonary Disease,Prevalence of current smoking among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,%,
2012,2012,New Mexico,Overarching Conditions,Premature mortality among adults aged 45-64 years,"cases per 100,000",636.4
2016,2016,Vermont,Cardiovascular Disease,Mortality from coronary heart disease,"cases per 100,000",
2012,2012,Washington,Diabetes,Visits to dentist or dental clinic among adults aged >= 18 years with diagnosed diabetes,%,54.7
2014,2014,South Dakota,Tobacco,Quit attempts in the past year among current smokers,%,66.0
2009,2013,Arizona,Cancer,"Melanoma, mortality",,215
2014,2014,Oregon,Overarching Conditions,Premature mortality among adults aged 45-64 years,,115
2015,2015,District of Columbia,Arthritis,Work limitation due to arthritis among adults aged 18-64 years who have doctor-diagnosed arthritis,%,
2013,2013,Oklahoma,Chronic Kidney Disease,Prevalence of chronic kidney disease among adults aged >= 18 years,%,3.3
2013,2013,Massachusetts,Chronic Obstructive Pulmonary Disease,Prevalence of activity limitation among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,%,53.5
2016,2016,Nebraska,Asthma,Influenza vaccination among noninstitutionalized adults aged 18-64 years with asthma,%,
2018,2018,Maine,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among women aged 18-44 years,%,
2014,2014,Idaho,Chronic Kidney Disease,Mortality with end-stage renal disease,"cases per 100,000",56.4
2018,2018,Michigan,Tobacco,Current smokeless tobacco use among adults aged >= 18 years,%,
2017,2017,Virgin Islands,Overarching Conditions,Fair or poor self-rated health status among adults aged >= 18 years,%,
2010,2010,Vermont,Cardiovascular Disease,Hospitalization for stroke,"cases per 10,000",
2014,2014,Georgia,Cardiovascular Disease,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease,%,
2011,2015,Montana,Cancer,"Invasive cancer (all sites combined), incidence","per 100,000",516.4
2016,2016,Arkansas,Chronic Obstructive Pulmonary Disease,Prevalence of chronic obstructive pulmonary disease among adults >= 18,%,8.0
2016,2016,Michigan,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with asthma,%,91.9
2017,2017,New Jersey,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,5.5
2012,2012,Wisconsin,Chronic Obstructive Pulmonary Disease,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,"cases per 100,000",308.8
2011,2011,Michigan,Arthritis,Severe joint pain due to arthritis among adults aged >= 18 years who have doctor-diagnosed arthritis,%,27.1
2018,2018,Delaware,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,3.2
2011,2015,Arkansas,Cancer,"Cancer of the colon and rectum (colorectal), incidence",,1550
2012,2012,Minnesota,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among adults aged >= 18 years,%,66.4
2011,2011,New Mexico,Chronic Kidney Disease,Prevalence of chronic kidney disease among adults aged >= 18 years,%,2.4
2011,2015,Florida,Cancer,"Invasive cancer of the oral cavity or pharynx, incidence","per 100,000",18.1
2017,2017,Oregon,Oral Health,Oral health services at Federally Qualified Health Centers,%,28.1
2015,2015,North Carolina,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among women aged 18-44 years,%,
2013,2013,North Carolina,Chronic Obstructive Pulmonary Disease,Prevalence of activity limitation among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,%,61.8
2017,2017,Oregon,Tobacco,Current cigarette smoking among women aged 18-44 years,%,
2012,2012,New Jersey,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,%,22.3
2017,2017,New Jersey,Chronic Obstructive Pulmonary Disease,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,"cases per 100,000",158.1
2015,2015,Mississippi,Diabetes,Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course,%,
2016,2016,Minnesota,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",86.43
2011,2011,Wisconsin,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,18.4
2011,2011,United States,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years who smoke,%,59.9
2014,2014,Maryland,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,"cases per 1,000",4.17
2013,2013,Connecticut,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with asthma,%,
2009,2013,West Virginia,Cancer,"Cancer of the lung and bronchus, mortality","per 100,000",84.3
2014,2014,Pennsylvania,Arthritis,Fair or poor health among adults aged >= 18 years with arthritis,%,30.5
2016,2016,Connecticut,Cancer,Mammography use among women aged 50-74 years,%,
2018,2018,Iowa,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years who smoke,%,
2013,2013,Mississippi,Chronic Obstructive Pulmonary Disease,Prevalence of current smoking among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,%,30
2008,2012,Tennessee,Cancer,"Cancer of the colon and rectum (colorectal), mortality","per 100,000",
2015,2015,Vermont,Alcohol,Binge drinking prevalence among women aged 18-44 years,%,
2014,2014,Arizona,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",9.72
2013,2013,Illinois,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with asthma,%,
2017,2017,California,Cardiovascular Disease,Mortality from coronary heart disease,"cases per 100,000",125.8
2012,2012,Guam,Diabetes,Visits to dentist or dental clinic among adults aged >= 18 years with diagnosed diabetes,%,42.0
2015,2015,Connecticut,Chronic Obstructive Pulmonary Disease,Prevalence of chronic obstructive pulmonary disease among adults >= 45 years,%,7.5
2017,2017,Michigan,"Nutrition, Physical Activity, and Weight Status",Median daily frequency of vegetable consumption among adults aged >= 18 years,Number,1.8
2012,2012,Pennsylvania,Diabetes,Glycosylated hemoglobin measurement among adults aged >= 18 years with diagnosed diabetes,%,76.8
2014,2014,Maine,Cardiovascular Disease,Mortality from diseases of the heart,,
2016,2016,Iowa,Diabetes,Mortality due to diabetes reported as any listed cause of death,"cases per 100,000",95.1
2016,2016,Arizona,Cardiovascular Disease,Mortality from cerebrovascular disease (stroke),"cases per 100,000",30.0
